Rating,URN
Unknown,100001
Unknown,100002
Unknown,100003
Good,100049
Good,100050
Good,100051
Good,100052
Good,100053
Outstanding,100054
Good,100055
Good,100056
Good,100059
Unknown,100062
Unknown,100064
Unknown,100065
Unknown,100069
Unknown,100070
Unknown,100072
Good,100074
Unknown,100075
Unknown,100076
Requires Improvement,100078
Unknown,100080
Outstanding,100082
Outstanding,100084
Good,100092
Outstanding,100096
Good,100171
Good,100182
Good,100183
Good,100190
Inadequate,100192
Outstanding,100193
Unknown,100200
Unknown,100202
Good,100204
Good,100277
Good,100279
Good,100282
Good,100284
Good,100285
Requires Improvement,100287
Inadequate,100291
Requires Improvement,100293
Inadequate,100294
Good,100295
Inadequate,100296
Inadequate,100298
Inadequate,100299
Inadequate,100300
Inadequate,100301
Good,100303
Outstanding,100307
Outstanding,100311
Good,100312
Unknown,100366
Unknown,100369
Unknown,100370
Good,100374
Outstanding,100378
Outstanding,100379
Outstanding,100381
Good,100382
Requires Improvement,100453
Outstanding,100455
Outstanding,100457
Outstanding,100458
Requires Improvement,100459
Unknown,100461
Outstanding,100467
Outstanding,100469
Outstanding,100502
Good,100503
Unknown,100511
Unknown,100514
Outstanding,100516
Good,100518
Unknown,100521
Unknown,100527
Unknown,100528
Unknown,100529
Inadequate,100532
Unknown,100533
Good,100536
Good,100537
Good,100539
Unknown,100540
Unknown,100541
Outstanding,100544
Good,100547
Good,100590
Good,100624
Outstanding,100625
Good,100627
Outstanding,100637
Outstanding,100638
Inadequate,100640
Requires Improvement,100642
Outstanding,100643
Unknown,100648
Good,100654
Outstanding,100659
Requires Improvement,100740
Good,100741
Requires Improvement,100742
Requires Improvement,100743
Requires Improvement,100745
Good,100747
Good,100748
Good,100749
Outstanding,100750
Outstanding,100752
Unknown,100754
Unknown,100756
Unknown,100757
Good,100760
Good,100763
Outstanding,100765
Outstanding,100849
Outstanding,100857
Outstanding,100859
Unknown,100861
Unknown,100862
Unknown,100863
Unknown,100864
Good,100872
Outstanding,100880
Good,100965
Good,100966
Outstanding,100967
Good,100972
Outstanding,100973
Good,100974
Good,100975
Outstanding,100977
Outstanding,100978
Requires Improvement,100979
Good,100982
Good,100986
Outstanding,100987
Outstanding,100989
Requires Improvement,101053
Unknown,101064
Good,101069
Unknown,101071
Unknown,101072
Inadequate,101073
Unknown,101074
Good,101077
Unknown,101082
Good,101086
Unknown,101088
Unknown,101089
Requires Improvement,101090
Good,101094
Outstanding,101095
Outstanding,101102
Good,101103
Outstanding,101154
Unknown,101156
Unknown,101157
Unknown,101158
Unknown,101159
Unknown,101161
Unknown,101162
Unknown,101163
Unknown,101165
Unknown,101166
Outstanding,101168
Inadequate,101171
Unknown,101172
Unknown,101173
Good,101175
Unknown,101177
Unknown,101178
Inadequate,101181
Good,101182
Good,101184
Good,101241
Requires Improvement,101243
Good,101244
Good,101245
Good,101247
Good,101345
Outstanding,101361
Good,101362
Good,101364
Unknown,101367
Good,101368
Unknown,101369
Unknown,101374
Good,101385
Inadequate,101387
Good,101388
Unknown,101391
Unknown,101393
Good,101397
Good,101485
Good,101487
Good,101564
Outstanding,101575
Requires Improvement,101576
Unknown,101578
Outstanding,101583
Outstanding,101676
Unknown,101680
Unknown,101682
Unknown,101683
Unknown,101685
Unknown,101692
Unknown,101693
Requires Improvement,101695
Outstanding,101697
Good,101811
Inadequate,101813
Good,101814
Good,101821
Outstanding,101823
Unknown,101829
Unknown,101835
Unknown,101837
Unknown,101842
Good,101843
Unknown,101845
Unknown,101846
Good,101849
Good,101851
Good,101852
Outstanding,101853
Good,101856
Outstanding,101928
Outstanding,101934
Good,101939
Outstanding,101940
