,URN,LA,GENDER,RELCHAR,PNORG,PNORB,PSENELSE,PSENELK,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSMEVER,PNUMFSM,PERCTOT,PPERSABS10,TPUP,P8PUP,ATT8SCR,P8MEA,P8CILOW,P8CIUPP,EBACCAPS,PTL2BASICS_94,PTL2BASICS_95,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING,OVERALL_DESTPER,NOT_SUSTAINEDPER,UNKNOWNPER,OVERALL_DESTPER_DIS,NOT_SUSTAINEDPER_DIS,UNKNOWNPER_DIS,Rating
5,100051,202,Mixed,Does not apply,45.0,55.0,3.6,11.1,82.6,17.4,0.0,69.0,42.97108673978066,6.7,19.2,154.0,139,42.1,-0.18,-0.4,0.03,3.77,59.1%,40.3%,60.4%,20.1%,7.1%,52.6%,3,86%,8%,5%,85%,9%,6%,Good
6,100052,202,Mixed,Does not apply,47.5,52.5,2.4,6.9,55.8,44.2,0.0,54.2,22.782874617737004,5.4,14,200.0,188,44.6,-0.06,-0.24,0.13,4.08,63.0%,31.5%,58.5%,24.0%,12.0%,57.0%,3,91%,8%,1%,87%,13%,0%,Good
7,100053,202,Mixed,Does not apply,33.7,66.3,6.2,13.4,28.2,70.3,1.5,47.1,26.190476190476193,6.3,18.5,136.0,128,47.2,-0.08,-0.3,0.14,4.29,66.2%,47.1%,51.5%,36.8%,26.5%,62.5%,3,95%,4%,1%,90%,7%,3%,Good
9,100055,202,Mixed,Roman Catholic,58.8,41.2,3.5,8.9,52.2,47.8,0.0,54.5,29.254571026722925,5.3,14.3,115.0,107,48.3,0.09,-0.15,0.34,4.56,67.0%,45.2%,80.0%,40.9%,26.1%,60.9%,3,99%,0%,1%,98%,0%,2%,Good
10,100056,202,Boys,None,7.7,92.3,1.8,6.8,43.7,56.1,0.2,55.0,27.990430622009573,5.4,15.6,111.0,105,46.2,-0.44,-0.69,-0.2,4.53,65.8%,41.4%,84.7%,39.6%,27.0%,58.6%,4,93%,6%,1%,93%,7%,0%,Good
11,100059,202,Girls,Roman Catholic,98.6,1.4,0.8,8.1,43.9,56.0,0.1,42.2,17.33457595526561,4.9,9.5,173.0,169,54.6,0.54,0.34,0.73,4.84,77.5%,53.2%,56.6%,32.9%,21.4%,76.3%,1,97%,3%,1%,99%,1%,0%,Good
28,100182,203,Girls,Does not apply,99.2,0.8,1.0,10.8,26.4,73.4,0.2,34.5,12.477558348294435,4.2,8.8,171.0,156,47.5,-0.06,-0.27,0.14,4.13,65.5%,46.8%,28.7%,21.6%,18.1%,60.2%,3,94%,4%,1%,95%,5%,0%,Good
29,100183,203,Mixed,Does not apply,91.9,8.1,2.9,9.0,62.3,37.7,0.0,44.7,19.48324022346369,5.9,16.3,232.0,200,41.6,-0.28,-0.46,-0.11,3.55,51.7%,33.2%,41.8%,22.0%,11.6%,49.1%,4,96%,2%,1%,97%,3%,0%,Good
30,100190,203,Mixed,Does not apply,45.2,54.8,3.9,3.8,24.3,73.9,1.8,40.1,16.79790026246719,5.2,13.8,260.0,244,45.4,-0.41,-0.57,-0.25,3.92,57.7%,35.8%,33.1%,21.2%,13.5%,54.2%,4,92%,7%,1%,88%,9%,3%,Good
31,100192,203,Mixed,None,42.6,57.4,3.0,9.8,22.9,74.7,2.4,43.4,21.792763157894736,5.6,16.3,221.0,207,39.8,-0.83,-1.01,-0.66,3.61,54.8%,31.7%,63.8%,17.6%,9.5%,45.7%,5,89%,9%,2%,83%,15%,2%,Inadequate
